"","pathway","model","variable","depth","total"
"1","ssp126","CMCC-CM2-SR5","siconc","bottom",4
"2","ssp126","CMCC-CM2-SR5","siconc","surface",4
"3","ssp126","CMCC-CM2-SR5","so","bottom",8
"4","ssp126","CMCC-CM2-SR5","so","surface",22
"5","ssp126","CMCC-CM2-SR5","thetao","bottom",8
"6","ssp126","CMCC-CM2-SR5","thetao","surface",22
"7","ssp126","CMCC-ESM2","o2","bottom",18
"8","ssp126","CMCC-ESM2","o2","surface",26
"9","ssp126","CMCC-ESM2","ph","bottom",18
"10","ssp126","CMCC-ESM2","ph","surface",26
"11","ssp126","CMCC-ESM2","siconc","bottom",4
"12","ssp126","CMCC-ESM2","siconc","surface",4
"13","ssp126","CMCC-ESM2","so","bottom",18
"14","ssp126","CMCC-ESM2","so","surface",26
"15","ssp126","CMCC-ESM2","thetao","bottom",26
"16","ssp126","CMCC-ESM2","thetao","surface",26
"17","ssp126","GFDL-ESM4","siconc","bottom",4
"18","ssp126","GFDL-ESM4","siconc","surface",4
"19","ssp126","GFDL-ESM4","so","bottom",18
"20","ssp126","GFDL-ESM4","so","surface",26
"21","ssp126","GFDL-ESM4","thetao","bottom",26
"22","ssp126","GFDL-ESM4","thetao","surface",26
"23","ssp126","IPSL-CM6A-LR","o2","bottom",26
"24","ssp126","IPSL-CM6A-LR","o2","surface",48
"25","ssp126","IPSL-CM6A-LR","ph","bottom",26
"26","ssp126","IPSL-CM6A-LR","ph","surface",48
"27","ssp126","IPSL-CM6A-LR","siconc","bottom",8
"28","ssp126","IPSL-CM6A-LR","siconc","surface",8
"29","ssp126","IPSL-CM6A-LR","so","bottom",26
"30","ssp126","IPSL-CM6A-LR","so","surface",48
"31","ssp126","IPSL-CM6A-LR","thetao","bottom",26
"32","ssp126","IPSL-CM6A-LR","thetao","surface",48
"33","ssp126","MPI-ESM1-2-LR","o2","bottom",36
"34","ssp126","MPI-ESM1-2-LR","o2","surface",52
"35","ssp126","MPI-ESM1-2-LR","ph","bottom",36
"36","ssp126","MPI-ESM1-2-LR","ph","surface",52
"37","ssp126","MPI-ESM1-2-LR","siconc","bottom",8
"38","ssp126","MPI-ESM1-2-LR","siconc","surface",8
"39","ssp126","MPI-ESM1-2-LR","so","bottom",26
"40","ssp126","MPI-ESM1-2-LR","so","surface",48
"41","ssp126","MPI-ESM1-2-LR","thetao","bottom",26
"42","ssp126","MPI-ESM1-2-LR","thetao","surface",48
"43","ssp126","ensemble","o2","bottom",8
"44","ssp126","ensemble","o2","surface",26
"45","ssp126","ensemble","ph","bottom",8
"46","ssp126","ensemble","ph","surface",26
"47","ssp126","ensemble","siconc","surface",8
"48","ssp126","ensemble","so","bottom",8
"49","ssp126","ensemble","so","surface",26
"50","ssp126","ensemble","thetao","bottom",22
"51","ssp126","ensemble","thetao","surface",26
"52","ssp245","CESM2","ph","bottom",22
"53","ssp245","CESM2","ph","surface",22
"54","ssp245","CESM2","so","bottom",22
"55","ssp245","CESM2","so","surface",22
"56","ssp245","CESM2","thetao","bottom",22
"57","ssp245","CESM2","thetao","surface",22
"58","ssp245","CESM2-WACCM","ph","bottom",44
"59","ssp245","CESM2-WACCM","ph","surface",44
"60","ssp245","CESM2-WACCM","so","bottom",22
"61","ssp245","CESM2-WACCM","so","surface",22
"62","ssp245","CESM2-WACCM","thetao","bottom",22
"63","ssp245","CESM2-WACCM","thetao","surface",22
"64","ssp245","CMCC-CM2-SR5","siconc","bottom",4
"65","ssp245","CMCC-CM2-SR5","siconc","surface",4
"66","ssp245","CMCC-CM2-SR5","so","bottom",8
"67","ssp245","CMCC-CM2-SR5","so","surface",22
"68","ssp245","CMCC-CM2-SR5","thetao","bottom",8
"69","ssp245","CMCC-CM2-SR5","thetao","surface",22
"70","ssp245","CMCC-ESM2","o2","bottom",18
"71","ssp245","CMCC-ESM2","o2","surface",26
"72","ssp245","CMCC-ESM2","ph","bottom",18
"73","ssp245","CMCC-ESM2","ph","surface",26
"74","ssp245","CMCC-ESM2","siconc","bottom",4
"75","ssp245","CMCC-ESM2","siconc","surface",4
"76","ssp245","CMCC-ESM2","so","bottom",18
"77","ssp245","CMCC-ESM2","so","surface",26
"78","ssp245","CMCC-ESM2","thetao","bottom",26
"79","ssp245","CMCC-ESM2","thetao","surface",26
"80","ssp245","CNRM-ESM2-1","ph","bottom",22
"81","ssp245","CNRM-ESM2-1","ph","surface",22
"82","ssp245","CanESM5-CanOE","ph","bottom",44
"83","ssp245","CanESM5-CanOE","ph","surface",44
"84","ssp245","CanESM5-CanOE","siconc","surface",22
"85","ssp245","EC-Earth3-Veg","so","bottom",22
"86","ssp245","EC-Earth3-Veg","so","surface",22
"87","ssp245","EC-Earth3-Veg","thetao","bottom",22
"88","ssp245","EC-Earth3-Veg","thetao","surface",22
"89","ssp245","GFDL-ESM4","siconc","bottom",8
"90","ssp245","GFDL-ESM4","siconc","surface",8
"91","ssp245","GFDL-ESM4","so","bottom",18
"92","ssp245","GFDL-ESM4","so","surface",26
"93","ssp245","GFDL-ESM4","thetao","bottom",26
"94","ssp245","GFDL-ESM4","thetao","surface",26
"95","ssp245","IPSL-CM6A-LR","o2","bottom",26
"96","ssp245","IPSL-CM6A-LR","o2","surface",48
"97","ssp245","IPSL-CM6A-LR","ph","bottom",26
"98","ssp245","IPSL-CM6A-LR","ph","surface",50
"99","ssp245","IPSL-CM6A-LR","siconc","bottom",8
"100","ssp245","IPSL-CM6A-LR","siconc","surface",8
"101","ssp245","IPSL-CM6A-LR","so","bottom",26
"102","ssp245","IPSL-CM6A-LR","so","surface",50
"103","ssp245","IPSL-CM6A-LR","thetao","bottom",26
"104","ssp245","IPSL-CM6A-LR","thetao","surface",50
"105","ssp245","MIROC-ES2L","ph","bottom",22
"106","ssp245","MIROC-ES2L","ph","surface",22
"107","ssp245","MIROC-ES2L","siconc","surface",22
"108","ssp245","MPI-ESM1-2-HR","siconc","surface",22
"109","ssp245","MPI-ESM1-2-LR","o2","bottom",36
"110","ssp245","MPI-ESM1-2-LR","o2","surface",52
"111","ssp245","MPI-ESM1-2-LR","ph","bottom",36
"112","ssp245","MPI-ESM1-2-LR","ph","surface",52
"113","ssp245","MPI-ESM1-2-LR","siconc","bottom",8
"114","ssp245","MPI-ESM1-2-LR","siconc","surface",8
"115","ssp245","MPI-ESM1-2-LR","so","bottom",26
"116","ssp245","MPI-ESM1-2-LR","so","surface",50
"117","ssp245","MPI-ESM1-2-LR","thetao","bottom",26
"118","ssp245","MPI-ESM1-2-LR","thetao","surface",50
"119","ssp245","NorESM2-MM","siconc","surface",22
"120","ssp245","UKESM1-0-LL","ph","bottom",22
"121","ssp245","UKESM1-0-LL","ph","surface",22
"122","ssp245","ensemble","o2","bottom",8
"123","ssp245","ensemble","o2","surface",26
"124","ssp245","ensemble","ph","bottom",8
"125","ssp245","ensemble","ph","surface",26
"126","ssp245","ensemble","siconc","surface",8
"127","ssp245","ensemble","so","bottom",8
"128","ssp245","ensemble","so","surface",26
"129","ssp245","ensemble","thetao","bottom",22
"130","ssp245","ensemble","thetao","surface",26
"131","ssp370","CESM2","ph","bottom",22
"132","ssp370","CESM2","ph","surface",22
"133","ssp370","CESM2","so","bottom",22
"134","ssp370","CESM2","so","surface",22
"135","ssp370","CESM2","thetao","bottom",22
"136","ssp370","CESM2","thetao","surface",22
"137","ssp370","CESM2-WACCM","ph","bottom",44
"138","ssp370","CESM2-WACCM","ph","surface",44
"139","ssp370","CESM2-WACCM","so","bottom",22
"140","ssp370","CESM2-WACCM","so","surface",22
"141","ssp370","CESM2-WACCM","thetao","bottom",22
"142","ssp370","CESM2-WACCM","thetao","surface",22
"143","ssp370","CMCC-CM2-SR5","siconc","surface",22
"144","ssp370","CMCC-CM2-SR5","so","bottom",22
"145","ssp370","CMCC-CM2-SR5","so","surface",22
"146","ssp370","CMCC-CM2-SR5","thetao","bottom",22
"147","ssp370","CMCC-CM2-SR5","thetao","surface",22
"148","ssp370","CMCC-ESM2","ph","bottom",22
"149","ssp370","CMCC-ESM2","ph","surface",22
"150","ssp370","CMCC-ESM2","siconc","surface",22
"151","ssp370","CMCC-ESM2","so","bottom",22
"152","ssp370","CMCC-ESM2","so","surface",22
"153","ssp370","CMCC-ESM2","thetao","bottom",22
"154","ssp370","CMCC-ESM2","thetao","surface",22
"155","ssp370","CNRM-ESM2-1","ph","bottom",22
"156","ssp370","CNRM-ESM2-1","ph","surface",22
"157","ssp370","CanESM5-CanOE","ph","bottom",44
"158","ssp370","CanESM5-CanOE","ph","surface",44
"159","ssp370","CanESM5-CanOE","siconc","surface",22
"160","ssp370","EC-Earth3-Veg","so","bottom",22
"161","ssp370","EC-Earth3-Veg","so","surface",22
"162","ssp370","EC-Earth3-Veg","thetao","bottom",22
"163","ssp370","EC-Earth3-Veg","thetao","surface",22
"164","ssp370","GFDL-ESM4","siconc","surface",22
"165","ssp370","GFDL-ESM4","so","bottom",22
"166","ssp370","GFDL-ESM4","so","surface",22
"167","ssp370","GFDL-ESM4","thetao","bottom",22
"168","ssp370","GFDL-ESM4","thetao","surface",22
"169","ssp370","IPSL-CM6A-LR","ph","bottom",44
"170","ssp370","IPSL-CM6A-LR","ph","surface",44
"171","ssp370","IPSL-CM6A-LR","siconc","surface",22
"172","ssp370","IPSL-CM6A-LR","so","bottom",44
"173","ssp370","IPSL-CM6A-LR","so","surface",44
"174","ssp370","IPSL-CM6A-LR","thetao","bottom",44
"175","ssp370","IPSL-CM6A-LR","thetao","surface",44
"176","ssp370","MIROC-ES2L","ph","bottom",22
"177","ssp370","MIROC-ES2L","ph","surface",22
"178","ssp370","MIROC-ES2L","siconc","surface",22
"179","ssp370","MPI-ESM1-2-HR","siconc","surface",22
"180","ssp370","MPI-ESM1-2-LR","ph","bottom",44
"181","ssp370","MPI-ESM1-2-LR","ph","surface",44
"182","ssp370","MPI-ESM1-2-LR","siconc","surface",44
"183","ssp370","MPI-ESM1-2-LR","so","bottom",44
"184","ssp370","MPI-ESM1-2-LR","so","surface",44
"185","ssp370","MPI-ESM1-2-LR","thetao","bottom",44
"186","ssp370","MPI-ESM1-2-LR","thetao","surface",44
"187","ssp370","NorESM2-MM","siconc","surface",22
"188","ssp370","UKESM1-0-LL","ph","bottom",22
"189","ssp370","UKESM1-0-LL","ph","surface",22
"190","ssp585","CMCC-CM2-SR5","siconc","bottom",4
"191","ssp585","CMCC-CM2-SR5","siconc","surface",4
"192","ssp585","CMCC-CM2-SR5","so","bottom",8
"193","ssp585","CMCC-CM2-SR5","so","surface",22
"194","ssp585","CMCC-CM2-SR5","thetao","bottom",8
"195","ssp585","CMCC-CM2-SR5","thetao","surface",22
"196","ssp585","CMCC-ESM2","o2","bottom",18
"197","ssp585","CMCC-ESM2","o2","surface",26
"198","ssp585","CMCC-ESM2","ph","bottom",18
"199","ssp585","CMCC-ESM2","ph","surface",26
"200","ssp585","CMCC-ESM2","siconc","bottom",4
"201","ssp585","CMCC-ESM2","siconc","surface",4
"202","ssp585","CMCC-ESM2","so","bottom",18
"203","ssp585","CMCC-ESM2","so","surface",26
"204","ssp585","CMCC-ESM2","thetao","bottom",26
"205","ssp585","CMCC-ESM2","thetao","surface",26
"206","ssp585","GFDL-ESM4","siconc","bottom",4
"207","ssp585","GFDL-ESM4","siconc","surface",4
"208","ssp585","GFDL-ESM4","so","bottom",18
"209","ssp585","GFDL-ESM4","so","surface",26
"210","ssp585","GFDL-ESM4","thetao","bottom",26
"211","ssp585","GFDL-ESM4","thetao","surface",26
"212","ssp585","IPSL-CM6A-LR","o2","bottom",26
"213","ssp585","IPSL-CM6A-LR","o2","surface",48
"214","ssp585","IPSL-CM6A-LR","ph","bottom",26
"215","ssp585","IPSL-CM6A-LR","ph","surface",48
"216","ssp585","IPSL-CM6A-LR","siconc","bottom",8
"217","ssp585","IPSL-CM6A-LR","siconc","surface",8
"218","ssp585","IPSL-CM6A-LR","so","bottom",26
"219","ssp585","IPSL-CM6A-LR","so","surface",48
"220","ssp585","IPSL-CM6A-LR","thetao","bottom",26
"221","ssp585","IPSL-CM6A-LR","thetao","surface",48
"222","ssp585","MPI-ESM1-2-LR","o2","bottom",36
"223","ssp585","MPI-ESM1-2-LR","o2","surface",52
"224","ssp585","MPI-ESM1-2-LR","ph","bottom",36
"225","ssp585","MPI-ESM1-2-LR","ph","surface",52
"226","ssp585","MPI-ESM1-2-LR","siconc","bottom",8
"227","ssp585","MPI-ESM1-2-LR","siconc","surface",8
"228","ssp585","MPI-ESM1-2-LR","so","bottom",26
"229","ssp585","MPI-ESM1-2-LR","so","surface",48
"230","ssp585","MPI-ESM1-2-LR","thetao","bottom",26
"231","ssp585","MPI-ESM1-2-LR","thetao","surface",48
"232","ssp585","ensemble","o2","bottom",8
"233","ssp585","ensemble","o2","surface",26
"234","ssp585","ensemble","ph","bottom",8
"235","ssp585","ensemble","ph","surface",26
"236","ssp585","ensemble","siconc","surface",8
"237","ssp585","ensemble","so","bottom",8
"238","ssp585","ensemble","so","surface",26
"239","ssp585","ensemble","thetao","bottom",22
"240","ssp585","ensemble","thetao","surface",26
